"logFC" "logCPM" "PValue" "de1"
"1" 5.8500351952806 5.35997679025717 0.000297147271685905 1
"2" 5.8500351952806 5.35997679025717 0.000297147271685905 1
"3" 5.8500351952806 5.35997679025717 0.000297147271685905 1
"4" 5.8500351952806 5.35997679025717 0.000297147271685905 1
"5" -0.106333323988027 9.81981458745437 0.397490142232312 0
"6" 0.0981055921014453 8.74122018138352 0.62481497477717 0
"7" 2.92854597687321 6.64665792534992 1.01093577028199e-07 1
"8" 2.92854367249077 6.64665792534992 1.01261741748315e-07 1
"9" 7.6374999450937 10.0231098903953 7.54113673533485e-133 1
"10" 7.63749775470448 10.0231098903953 6.86943251326428e-133 1
"11" 1.06757426364323 9.97963229578079 6.93127936905605e-15 1
"12" 1.06759957289268 9.97963229578079 6.52735045665062e-15 1
"13" 1.06762486889377 9.97963229578079 6.14686487177968e-15 1
"14" -0.461851768401485 11.5135357821305 4.91882368114475e-07 -1
"15" -0.489378975096822 11.144428514432 3.58293873547104e-06 -1
"16" -0.610846101595318 11.3756145926914 1.51216077495632e-13 -1
"17" -0.61085370326429 11.3756145926914 1.6186604174884e-13 -1
"18" -0.610861332137669 11.3756145926914 1.73309816431691e-13 -1
"19" -0.886976406981996 10.4648709092069 1.22897171822173e-16 -1
"20" 3.96528967871379 5.51618010407013 0.00108879736664778 1
"21" 3.65674390472249 5.31834311079375 0.00272849735708833 1
"22" 1.48660169156897 12.6075936824452 2.06034716452165e-47 1
"23" -2.51831330468874 9.8777911353629 1.67143001273905e-48 -1
"24" 0.12539424793033 4.69106621709822 1 0
"25" 0.0811934684953994 11.5724889721186 0.35069362456217 0
"26" 0.0811979424430694 11.5724889721186 0.351216944899877 0
"27" 0.0811973000476694 11.5724889721186 0.351141699939926 0
"28" -0.216999766824856 11.0185706857338 0.018623370223884 -1
"29" 0.122084812251083 10.4348139943314 0.319458103597272 0
"30" 0.122007489172872 10.4348139943314 0.321665866043507 0
"31" 0.121910964178201 10.4348139943314 0.32444763137854 0
"32" 0.121807834753707 10.4348139943314 0.327451775969436 0
"33" -0.647875329815563 8.98202845468287 0.192374781282591 0
"34" -0.647879923016953 8.98202845468287 0.192237188609734 0
"35" 0.854291147568504 8.50203731430076 1.31215096717733e-05 1
"36" 0.854296535148446 8.50203731430076 1.30287449911272e-05 1
"37" 0.90607028267341 8.43556874748805 9.670123664003e-06 1
"38" 0.906013487795992 8.43556874748805 1.03354078310809e-05 1
"39" 0.906041829650383 8.43556874748805 9.9980635164299e-06 1
"40" 0.00633700686212528 11.5810549503329 0.965163047990931 0
"41" 0.00633182000113837 11.5810549503329 0.965220475278907 0
"42" 0.472271429812915 11.630242774485 1.30163849847934e-07 1
"43" 0.472267296165527 11.630242774485 1.2540975467633e-07 1
"44" 0.472263117296863 11.630242774485 1.2079167409962e-07 1
"45" 0.473511457163757 11.6264156878653 1.14848176478065e-07 1
"46" 0.495035256981922 11.5937079579584 5.32330957102569e-08 1
"47" 1.95812835694612 11.4675688052328 1.04161002451037e-89 1
"48" -2.73035100496698 6.99308345765899 9.26699398040767e-06 -1
"49" 8.34104809224231 7.47408938634145 5.65585283925043e-27 1
"50" 8.3410444237418 7.47408938634145 5.45728564921087e-27 1
